t_ms,speed_fb,iq,speed_ref
192.0,49.824444,0.023838,50.000000,0.000578
193.0,50.214890,0.022234,50.000000,0.000450
194.0,49.898609,0.018876,50.000000,0.000579
195.0,50.007416,0.020130,50.000000,0.000541
196.0,50.334480,0.020563,50.000000,0.000434
197.0,50.658630,0.014770,50.000000,0.000316
198.0,50.930546,0.009845,50.000000,0.000217
199.0,51.842133,0.006395,50.000000,-0.000116
200.0,52.859001,-0.005660,50.000000,-0.000495
201.0,52.937798,-0.024237,50.000000,-0.000562
202.0,52.638962,-0.022573,50.000000,-0.000477
203.0,51.494675,-0.019357,50.000000,-0.000077
204.0,50.930729,0.000000,50.000000,0.000126
205.0,50.719181,0.003300,50.000000,0.000197
206.0,50.025116,0.008111,50.000000,0.000453
207.0,49.249687,0.017946,50.000000,0.000748
208.0,48.578735,0.028150,50.000000,0.001006
209.0,48.141098,0.041350,50.000000,0.001199
210.0,47.855354,0.046717,50.000000,0.001331
211.0,47.697670,0.051842,50.000000,0.001413
212.0,47.638981,0.053600,50.000000,0.001461
213.0,47.632210,0.054912,50.000000,0.001488
214.0,47.651764,0.055651,50.000000,0.001505
215.0,48.400696,0.055513,50.000000,0.001255
216.0,50.047485,0.044693,50.000000,0.000671
217.0,50.278988,0.020008,50.000000,0.000571
218.0,50.586040,0.017666,50.000000,0.000452
219.0,50.106136,0.012991,50.000000,0.000608
220.0,49.380501,0.019226,50.000000,0.000859
221.0,48.703518,0.029930,50.000000,0.001104
222.0,48.199078,0.039605,50.000000,0.001299
223.0,47.861549,0.047235,50.000000,0.001433
224.0,47.684597,0.052777,50.000000,0.001517
225.0,47.609154,0.055872,50.000000,0.001563
226.0,47.611790,0.058575,50.000000,0.001588
227.0,48.342922,0.057172,50.000000,0.001338
228.0,48.533756,0.046330,50.000000,0.001275
229.0,49.169159,0.044432,50.000000,0.001049
230.0,49.849693,0.033013,50.000000,0.000792
231.0,50.436142,0.024986,50.000000,0.000569
232.0,50.846199,0.016131,50.000000,0.000402
233.0,50.359982,0.009706,50.000000,0.000554
234.0,50.323895,0.017656,50.000000,0.000559
235.0,49.733574,0.016223,50.000000,0.000755
236.0,49.054928,0.026051,50.000000,0.000999
237.0,48.458218,0.035347,50.000000,0.001217
238.0,48.769245,0.044488,50.000000,0.001119
239.0,49.418095,0.040507,50.000000,0.000895
240.0,50.086895,0.031375,50.000000,0.000658
241.0,49.878983,0.021007,50.000000,0.000723
242.0,50.083614,0.025902,50.000000,0.000655
243.0,50.389076,0.021453,50.000000,0.000537
244.0,50.700592,0.017230,50.000000,0.000418
245.0,50.938641,0.011651,50.000000,0.000320
246.0,51.819374,0.007917,50.000000,-0.000013
247.0,52.074947,-0.006080,50.000000,-0.000133
248.0,52.018684,-0.008344,50.000000,-0.000133
249.0,51.101887,-0.007390,50.000000,0.000181
250.0,50.711040,0.005181,50.000000,0.000316
251.0,50.640385,0.010354,50.000000,0.000338
252.0,50.005257,0.011607,50.000000,0.000566
253.0,49.980564,0.021257,50.000000,0.000583
254.0,50.234215,0.021462,50.000000,0.000499
255.0,50.564064,0.018276,50.000000,0.000387
256.0,50.117001,0.013027,50.000000,0.000546
257.0,50.878857,0.019429,50.000000,0.000275
258.0,51.300308,0.008812,50.000000,0.000120
259.0,50.730804,0.001580,50.000000,0.000311
260.0,51.327801,0.011282,50.000000,0.000099
261.0,51.555271,0.000784,50.000000,0.000003
262.0,51.600758,-0.001530,50.000000,-0.000022
263.0,51.511604,-0.004912,50.000000,-0.000013
264.0,51.411060,-0.002461,50.000000,0.000008
265.0,50.623085,-0.000000,50.000000,0.000289
266.0,50.394691,0.010730,50.000000,0.000376
267.0,49.757431,0.014974,50.000000,0.000617
268.0,49.778671,0.023757,50.000000,0.000623
269.0,49.360657,0.023149,50.000000,0.000782
270.0,49.577049,0.029244,50.000000,0.000722
271.0,50.024887,0.027549,50.000000,0.000573
272.0,49.733700,0.019607,50.000000,0.000677
273.0,49.923122,0.024671,50.000000,0.000616
274.0,50.259861,0.020471,50.000000,0.000491
275.0,50.629032,0.017232,50.000000,0.000360
276.0,50.924065,0.012183,50.000000,0.000253
277.0,51.090271,0.005548,50.000000,0.000176
278.0,51.193455,0.003681,50.000000,0.000126
279.0,50.517445,0.002435,50.000000,0.000358
280.0,50.349773,0.011247,50.000000,0.000413
281.0,49.729954,0.014073,50.000000,0.000634
282.0,49.036217,0.023243,50.000000,0.000891
283.0,49.198574,0.034466,50.000000,0.000853
284.0,49.683861,0.031118,50.000000,0.000688
285.0,49.514801,0.025935,50.000000,0.000761
286.0,49.777718,0.026773,50.000000,0.000669
287.0,50.198658,0.023409,50.000000,0.000520
288.0,49.873753,0.017727,50.000000,0.000635
289.0,49.988869,0.020969,50.000000,0.000589
290.0,50.323887,0.020969,50.000000,0.000476
291.0,51.385681,0.016127,50.000000,0.000093
292.0,51.794918,-0.001727,50.000000,-0.000081
293.0,51.853710,-0.006510,50.000000,-0.000127
294.0,51.004463,-0.008959,50.000000,0.000153
295.0,50.678596,0.004915,50.000000,0.000265
296.0,50.642277,0.007615,50.000000,0.000275
297.0,50.019695,0.009144,50.000000,0.000496
298.0,50.004204,0.019805,50.000000,0.000512
299.0,50.235149,0.017543,50.000000,0.000428
300.0,50.560844,0.015506,50.000000,0.000315
301.0,50.109951,0.010728,50.000000,0.000474
302.0,50.165680,0.019562,50.000000,0.000466
303.0,50.399231,0.015852,50.000000,0.000383
304.0,49.972565,0.014863,50.000000,0.000546
305.0,50.043720,0.020532,50.000000,0.000529
306.0,49.579521,0.018305,50.000000,0.000696
307.0,49.724064,0.025903,50.000000,0.000655
308.0,49.373020,0.023760,50.000000,0.000787
309.0,49.586094,0.027744,50.000000,0.000714
310.0,49.301640,0.025702,50.000000,0.000822
311.0,48.841751,0.029732,50.000000,0.000995
312.0,48.394833,0.036051,50.000000,0.001165
313.0,48.058079,0.043270,50.000000,0.001303
314.0,48.544998,0.046871,50.000000,0.001138
315.0,48.610092,0.041997,50.000000,0.001130
316.0,49.180813,0.041154,50.000000,0.000937
317.0,49.106747,0.031429,50.000000,0.000959
318.0,49.520573,0.033820,50.000000,0.000814
319.0,49.319851,0.027530,50.000000,0.000883
320.0,48.894547,0.030946,50.000000,0.001039
321.0,49.176849,0.036622,50.000000,0.000942
322.0,48.981529,0.031836,50.000000,0.001008
323.0,49.360947,0.035542,50.000000,0.000876
324.0,49.910389,0.029950,50.000000,0.000677
325.0,50.424686,0.022210,50.000000,0.000486
326.0,50.825394,0.015528,50.000000,0.000336
327.0,50.327053,0.007686,50.000000,0.000494
328.0,50.301281,0.016456,50.000000,0.000500
329.0,49.730927,0.015367,50.000000,0.000695
330.0,49.057507,0.024244,50.000000,0.000938
331.0,49.222294,0.035376,50.000000,0.000895
332.0,49.696804,0.031627,50.000000,0.000729
333.0,49.496155,0.025078,50.000000,0.000801
334.0,49.044849,0.029022,50.000000,0.000971
335.0,49.298218,0.035689,50.000000,0.000892
336.0,49.798679,0.031082,50.000000,0.000714
337.0,50.317570,0.024093,50.000000,0.000524
338.0,50.726593,0.016128,50.000000,0.000367
339.0,51.014458,0.010507,50.000000,0.000253
340.0,50.455685,0.006691,50.000000,0.000443
341.0,51.104668,0.015485,50.000000,0.000211
342.0,51.395725,0.004056,50.000000,0.000089
343.0,50.758709,0.000086,50.000000,0.000301
344.0,50.563232,0.008876,50.000000,0.000363
345.0,50.605614,0.011280,50.000000,0.000341
346.0,50.029739,0.011280,50.000000,0.000546
347.0,50.018204,0.019311,50.000000,0.000552
348.0,49.531063,0.019263,50.000000,0.000729
349.0,49.683231,0.027531,50.000000,0.000688
350.0,50.086834,0.026201,50.000000,0.000556
351.0,50.491364,0.018998,50.000000,0.000410
