t_ms,M1_pos_ref,M1_pos_est,M1_speed_fb,M1_iq,M1_speed_ref,M2_pos_ref,M2_pos_est,M2_speed_fb,M2_iq,M2_speed_ref
3730.0,0.261799,0.261176,0.040785,-0.012167,0.037395,0.000000,3.197213,-0.070920,0.000145,0.000000
3735.0,0.261799,0.261439,0.189629,-0.020021,0.021617,0.000000,3.197178,-0.145814,-0.000145,0.000000
3740.0,0.261799,0.262198,0.118339,-0.031678,-0.023902,0.000000,3.197167,-0.107307,0.000145,0.000000
3745.0,0.261799,0.262284,-0.018432,-0.022810,-0.029088,0.000000,3.197176,-0.056420,-0.000145,0.000000
3750.0,0.261799,0.262300,-0.029236,-0.022383,-0.030060,0.000000,3.197195,0.010320,0.000000,0.000000
3755.0,0.261799,0.262301,-0.022252,-0.021881,-0.030128,0.000000,3.197202,0.020318,0.000869,0.000000
3760.0,0.261799,0.261922,-0.391908,-0.013516,-0.007358,0.000000,3.197204,0.013142,0.000000,0.000000
3765.0,0.261799,0.261490,-0.280890,-0.000420,0.018579,0.000000,3.197202,0.005527,0.000000,0.000000
3770.0,0.261799,0.261193,0.017625,-0.009800,0.036410,0.000000,3.197198,-0.011759,0.000145,0.000000
3775.0,0.261799,0.261177,0.040875,-0.010729,0.037331,0.000000,3.197197,-0.007409,0.000000,0.000000
3780.0,0.261799,0.261492,0.413029,-0.021376,0.018470,0.000000,3.197201,0.000594,0.000000,0.000000
3785.0,0.261799,0.261970,0.300030,-0.033537,-0.010250,0.000000,3.197200,-0.001916,0.000000,0.000000
3790.0,0.261799,0.262278,-0.006210,-0.022885,-0.028750,0.000000,3.197200,0.011281,0.000869,0.000000
3795.0,0.261799,0.262297,-0.032915,-0.021881,-0.029855,0.000000,3.197202,0.017498,-0.000869,0.000000
3800.0,0.261799,0.262302,-0.028752,-0.022308,-0.030130,0.000000,3.197199,-0.005926,0.000000,0.000000
3805.0,0.261799,0.262302,-0.032628,-0.021455,-0.030187,0.000000,3.197198,-0.006774,0.000000,0.000000
3810.0,0.261799,0.261640,-0.163865,-0.006082,0.009563,0.000000,3.197200,0.003065,0.000000,0.000000
3815.0,0.261799,0.261447,-0.184161,-0.003717,0.021148,0.000000,3.197198,0.003138,0.000000,0.000000
3820.0,0.261799,0.261190,0.024978,-0.009291,0.036555,0.000000,3.197205,0.050250,0.000869,0.000000
3825.0,0.261799,0.261177,0.049550,-0.011150,0.037322,0.000000,3.197208,0.020635,0.000000,0.000000
3830.0,0.261799,0.261553,0.375178,-0.021880,0.014775,0.000000,3.197199,-0.008648,0.000000,0.000000
3835.0,0.261799,0.261981,0.289385,-0.032608,-0.010893,0.000000,3.197196,-0.029640,0.000000,0.000000
3840.0,0.261799,0.262280,-0.001930,-0.023313,-0.028843,0.000000,3.197199,0.010101,0.000000,0.000000
3845.0,0.261799,0.262299,-0.035343,-0.021881,-0.029957,0.000000,3.197198,-0.020005,0.000000,0.000000
3850.0,0.261799,0.262302,-0.028766,-0.021881,-0.030134,0.000000,3.197195,-0.012810,0.000000,0.000000
3855.0,0.261799,0.262303,-0.026761,-0.021455,-0.030191,0.000000,3.197197,-0.003222,0.001737,0.000000
3860.0,0.261799,0.261640,-0.173747,-0.006928,0.009570,0.000000,3.197204,0.014870,0.000000,0.000000
