t_ms,M1_pos_ref,M1_pos_est,M1_speed_fb,M1_iq,M1_speed_ref,M2_pos_ref,M2_pos_est,M2_speed_fb,M2_iq,M2_speed_ref
680.0,0.022543,-0.000000,0.000000,inf,1.745329,1.744334,0.276557,0.015887,0.208908,0.000000
685.0,5.263860,0.014499,-0.000000,0.000000,inf,1.745329,1.745178,0.609989,-0.015184,0.031768
690.0,0.000000,5.263850,-0.021589,-0.000000,0.000000,inf,1.745329,1.746473,0.328550,-0.032354
695.0,-0.240176,0.000000,5.263850,-0.019678,-0.000000,0.000000,inf,1.745329,1.746630,-0.261542
700.0,-0.013486,-0.273170,0.000000,5.263856,0.004532,-0.001194,0.000000,inf,1.745329,1.745799
705.0,-0.735709,0.013125,-0.098634,0.000000,5.263857,0.005127,-0.000000,0.000000,inf,1.745329
710.0,1.744865,-0.654412,0.036608,0.097532,0.000000,5.263856,0.002534,-0.000277,0.000000,inf
715.0,1.745329,1.744321,0.131800,0.021300,0.211687,0.000000,5.263854,-0.004842,-0.000000,0.000000
720.0,inf,1.745329,1.744260,0.281027,0.013701,0.224504,0.000000,5.263854,-0.007417,-0.000000
725.0,0.000000,inf,1.745329,1.744794,0.500939,0.007023,0.112352,0.000000,5.263857,0.004345
730.0,-0.000000,0.000000,inf,1.745329,1.745974,0.801935,-0.037534,-0.135484,0.000000,5.263857
735.0,0.003426,-0.000000,0.000000,inf,1.745329,1.746603,-0.185563,-0.018869,-0.267538,0.000000
740.0,5.263857,0.005628,-0.000000,0.000000,inf,1.745329,1.746546,-0.431854,-0.005179,-0.255572
745.0,0.000000,5.263855,-0.003414,0.000917,0.000000,inf,1.745329,1.745121,-0.775939,0.027399
750.0,0.043834,0.000000,5.263849,-0.025065,-0.000000,0.000000,inf,1.745329,1.744129,-0.484387
755.0,0.044786,0.252092,0.000000,5.263851,-0.016213,-0.000000,0.000000,inf,1.745329,1.743949
760.0,0.425909,0.017962,0.289843,0.000000,5.263861,0.019918,-0.000000,0.000000,inf,1.745329
765.0,1.744577,0.653285,-0.005180,0.157889,0.000000,5.263859,0.012149,-0.000000,0.000000,inf
770.0,1.745329,1.746054,0.554083,-0.030868,-0.152256,0.000000,5.263855,-0.001173,-0.000000,0.000000
775.0,inf,1.745329,1.746591,0.046211,-0.021997,-0.265034,0.000000,5.263854,-0.011077,-0.000597
780.0,0.000000,inf,1.745329,1.746678,-0.362739,-0.008513,-0.283209,0.000000,5.263848,-0.024392
785.0,-0.000320,0.000000,inf,1.745329,1.745821,-0.698899,0.019800,-0.103215,0.000000,5.263851
790.0,-0.013117,-0.000000,0.000000,inf,1.745329,1.744378,-0.410657,0.042366,0.199821,0.000000
795.0,5.263859,0.013791,-0.000000,0.000000,inf,1.745329,1.744325,0.315509,0.012203,0.210961
800.0,0.000000,5.263859,0.012267,-0.000597,0.000000,inf,1.745329,1.744210,0.195919,0.017038
805.0,0.235119,0.000000,5.263858,0.009407,-0.000917,0.000000,inf,1.745329,1.745106,0.629820
810.0,-0.016461,0.046914,0.000000,5.263864,0.029807,-0.000000,0.000000,inf,1.745329,1.746272
815.0,0.262990,-0.032354,-0.198019,0.000000,5.263862,0.023146,-0.000320,0.000000,inf,1.745329
820.0,1.746259,-0.375814,-0.000923,-0.195290,0.000000,5.263858,0.008040,-0.000000,0.000000,inf
825.0,1.745329,1.746265,-0.212862,-0.010359,-0.196567,0.000000,5.263850,-0.022481,-0.000000,0.000000
830.0,inf,1.745329,1.745420,-0.611097,0.024406,-0.019051,0.000000,5.263844,-0.043063,-0.000000
835.0,0.000000,inf,1.745329,1.744318,-0.269206,0.039947,0.212338,0.000000,5.263844,-0.042974
840.0,-0.000917,0.000000,inf,1.745329,1.744308,0.348392,0.011282,0.214491,0.000000,5.263850
845.0,-0.018128,-0.000597,0.000000,inf,1.745329,1.744525,0.349172,0.014046,0.168904,0.000000
850.0,5.263861,0.020468,-0.000917,0.000000,inf,1.745329,1.745531,0.685320,-0.025330,-0.042433
855.0,0.000000,5.263866,0.038315,0.000917,0.000000,inf,1.745329,1.746491,0.056167,-0.025330
860.0,-0.243981,0.000000,5.263868,0.045161,-0.000000,0.000000,inf,1.745329,1.746637,-0.306437
865.0,-0.011638,-0.274673,0.000000,5.263862,0.016766,0.000597,0.000000,inf,1.745329,1.745465
870.0,-0.841671,0.021069,-0.028539,0.000000,5.263845,-0.039624,-0.000917,0.000000,inf,1.745329
875.0,1.744509,-0.618134,0.042366,0.172259,0.000000,5.263847,-0.027278,0.000597,0.000000,inf
880.0,1.745329,1.744317,0.356021,0.013123,0.212488,0.000000,5.263854,-0.004439,-0.000000,0.000000
885.0,inf,1.745329,1.744236,0.252544,0.017384,0.229686,0.000000,5.263856,0.001376,-0.000000
890.0,0.000000,inf,1.745329,1.745258,0.611755,-0.009791,0.014870,0.000000,5.263854,-0.006946
895.0,-0.000000,0.000000,inf,1.745329,1.746193,0.530321,-0.032354,-0.181321,0.000000,5.263857
900.0,0.003487,-0.000320,0.000000,inf,1.745329,1.746621,-0.241142,-0.013690,-0.271243,0.000000
905.0,5.263857,0.009377,0.000917,0.000000,inf,1.745329,1.746581,-0.358475,-0.009437,-0.262831
910.0,0.000000,5.263861,0.019024,-0.000000,0.000000,inf,1.745329,1.744767,-0.925345,0.041788
915.0,0.118110,0.000000,5.263860,0.014834,-0.000000,0.000000,inf,1.745329,1.744038,-0.287586
920.0,0.039026,0.271168,0.000000,5.263860,0.017662,-0.000000,0.000000,inf,1.745329,1.743941
925.0,0.449867,0.014622,0.291520,0.000000,5.263854,-0.004816,0.000917,0.000000,inf,1.745329
930.0,1.744647,0.655310,-0.007946,0.143194,0.000000,5.263854,-0.006854,-0.000597,0.000000,inf
935.0,1.745329,1.746282,0.611610,-0.035687,-0.200096,0.000000,5.263849,-0.021618,-0.000000,0.000000
940.0,inf,1.745329,1.746614,-0.088186,-0.017023,-0.269766,0.000000,5.263850,-0.019162,-0.000917
945.0,0.000000,inf,1.745329,1.746365,-0.512051,-0.004612,-0.217545,0.000000,5.263857,0.006015
950.0,-0.000917,0.000000,inf,1.745329,1.745403,-0.735374,0.028896,-0.015571,0.000000,5.263862
955.0,0.021832,-0.000000,0.000000,inf,1.745329,1.744340,-0.145497,0.034423,0.207732,0.000000
960.0,5.263861,0.019896,-0.000000,0.000000,inf,1.745329,1.744301,0.331744,0.012203,0.215868
965.0,0.000000,5.263856,-0.000828,-0.000000,0.000000,inf,1.745329,1.744409,0.300825,0.013698
970.0,0.193187,0.000000,5.263851,-0.014732,0.000597,0.000000,inf,1.745329,1.745465,0.719002
975.0,-0.025330,-0.028539,0.000000,5.263853,-0.009134,0.000597,0.000000,inf,1.745329,1.746553
980.0,0.168113,-0.032354,-0.256898,0.000000,5.263856,0.001338,-0.000000,0.000000,inf,1.745329
985.0,1.746630,-0.357005,-0.008511,-0.273246,0.000000,5.263856,0.000495,-0.000597,0.000000,inf
990.0,1.745329,1.745803,-0.690989,0.009787,-0.099485,0.000000,5.263855,-0.003438,-0.000000,0.000000
995.0,inf,1.745329,1.744702,-0.716376,0.041445,0.131804,0.000000,5.263855,-0.002717,0.000917
1000.0,0.000000,inf,1.745329,1.743970,0.148031,0.029585,0.285412,0.000000,5.263860,0.017256
1005.0,0.000320,0.000000,inf,1.745329,1.744034,0.448491,0.013125,0.272044,0.000000,5.263855
1010.0,-0.001329,-0.000000,0.000000,inf,1.745329,1.745808,0.921513,-0.032354,-0.100511,0.000000
1015.0,5.263852,-0.014002,-0.000597,0.000000,inf,1.745329,1.746468,0.258531,-0.026816,-0.239224
1020.0,0.000000,5.263855,-0.005168,0.000917,0.000000,inf,1.745329,1.746646,-0.380726,-0.008511
1025.0,-0.276475,0.000000,5.263856,0.001908,-0.000000,0.000000,inf,1.745329,1.746132,-0.555128
1030.0,0.008517,-0.168679,0.000000,5.263859,0.011969,0.001514,0.000000,inf,1.745329,1.744461
